x;y;z;
 0.491; 0.987; 0.000;
 0.299; 0.867; 0.594;
 0.120; 0.829; 0.250;
 0.120; 0.829; 0.250;
 0.444; 0.892;-0.218;
 0.100; 0.901;-0.393;
 0.100; 0.901;-0.393;
 0.664; 0.852;-0.404;
 0.686; 0.738;-0.560;
 0.686; 0.738;-0.560;
-0.091; 0.653;-0.607;
 0.550; 0.735; 0.679;
 0.550; 0.735; 0.679;
 0.525; 0.191; 0.022;
 0.525; 0.191; 0.022;
 0.548; 0.816; 0.114;
 0.091; 0.873; 0.584;
 0.091; 0.873; 0.584;
-0.206; 0.925; 0.175;
 0.189; 0.993;-0.315;
-0.634; 0.845; 0.622;
-0.634; 0.845; 0.622;
-0.933; 0.711; 0.452;
-0.307; 0.689; 0.887;
-0.307; 0.689; 0.887;
-0.311; 0.986; 0.414;
-0.311; 0.986; 0.414;
-0.889; 0.862;-0.392;
-0.630; 0.960;-0.630;
-0.630; 0.960;-0.630;
-0.547; 0.810; 0.859;
-0.620; 0.965; 0.542;
-0.620; 0.965; 0.542;
-0.241; 0.996; 0.080;
