x;y;z;
 0.536;-0.308;-0.630;
 0.469;-0.339;-0.585;
 0.469;-0.339;-0.585;
 0.429;-0.422;-0.305;
 0.122;-0.428;-0.568;
 0.122;-0.428;-0.568;
 0.176;-0.464;-0.382;
 0.898;-0.464;-0.612;
 0.898;-0.464;-0.612;
 0.535;-0.483;-0.777;
 0.535;-0.483;-0.777;
 0.453;-0.577;-0.480;
 0.005;-0.501;-0.950;
 0.005;-0.501;-0.950;
 0.667;-0.526;-0.966;
 0.381;-0.595;-0.790;
-0.018;-0.487;-0.158;
-0.018;-0.487;-0.158;
-0.106;-0.596;-0.811;
-0.106;-0.596;-0.811;
-0.518;-0.618;-0.685;
-0.949;-0.618;-0.565;
-0.949;-0.618;-0.565;
-0.289;-0.636;-0.340;
-0.807;-0.561;-0.304;
-0.807;-0.561;-0.304;
-0.846;-0.644;-0.888;
-0.196;-0.632;-0.545;
-0.196;-0.632;-0.545;
-0.407;-0.651;-0.025;
-0.407;-0.651;-0.025;
-0.122;-0.717;-0.035;
-0.442;-0.683;-0.514;
-0.442;-0.683;-0.514;
-0.473;-0.676;-0.487;
-0.386;-0.690;-0.626;
-0.514;-0.654;-0.684;
-0.514;-0.654;-0.684;
-0.366;-0.666;-0.979;
-0.247;-0.703;-0.888;
-0.247;-0.703;-0.888;
-0.336;-0.650;-0.183;
-0.883;-0.707;-0.487;
-0.889;-0.683;-0.632;
-0.889;-0.683;-0.632;
-0.698;-0.710;-0.678;
-0.698;-0.710;-0.678;
-0.510;-0.726;-0.766;
-0.358;-0.682;-0.099;
-0.358;-0.682;-0.099;
-0.090;-0.677;-0.270;
-0.906;-0.670;-0.380;
-0.906;-0.670;-0.380;
-0.700;-0.656;-0.503;
-0.237;-0.671;-0.532;
-0.147;-0.653;-0.604;
-0.147;-0.653;-0.604;
 0.264;-0.609;-0.753;
 0.616;-0.627;-0.632;
 0.616;-0.627;-0.632;
 0.763;-0.640;-0.546;
 0.110;-0.563;-0.703;
 0.110;-0.563;-0.703;
